Date,ARIMA Forecast,SARIMA Forecast
2021-12-31,1840.2432325630261,1850.5667267290485
2022-12-31,1839.67968839959,1859.780076030509
2023-12-31,1839.1163674212671,1857.6176274607924
2024-12-31,1838.553269539667,1855.0025256341842
2025-12-31,1837.9903946664353,1851.0747198954855
2026-12-31,1837.4277427132522,1866.7748448049133
2027-12-31,1836.8653135918325,1879.4055037403514
2028-12-31,1836.3031072139263,1876.1546643205404
2029-12-31,1835.7411234913188,1876.9444387628635
2030-12-31,1835.1793623358299,1876.192562581575
2031-12-31,1834.6178236593144,1876.9611894659606
2032-12-31,1834.056507373662,1882.0629094374021
